sample,assembly,genome,NGA50,LGA50
SAMEA2466887,Hybrid (hybridspades),MGYG000003189,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003190,8646.0,50.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003215,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003409,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003481,1203.0,177.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003656,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003681,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003686,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003694,9897.0,95.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003695,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003702,5020.0,165.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003891,15530.0,56.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003899,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003925,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003937,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003942,36238.0,14.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003949,36411.0,25.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003963,1125.0,290.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003966,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004000,182850.0,3.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004014,118135.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004016,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004019,53221.0,21.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004022,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004025,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004047,1055.0,181.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004052,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004059,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004088,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004111,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004113,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004114,74724.0,13.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004117,128283.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004118,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004137,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004155,83333.0,6.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004158,138539.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004160,9394.0,73.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004165,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004171,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004191,11519.0,33.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004194,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004196,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004226,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004232,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004237,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004245,42216.0,13.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004249,15483.0,25.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004250,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004254,113084.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004256,4758.0,78.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004279,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004308,4341.0,93.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004317,49018.0,18.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004343,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004345,1424.0,166.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004347,7493.0,67.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004352,194406.0,3.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004376,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004401,26881.0,14.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004431,1142.0,519.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004447,92204.0,5.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004451,227744.0,3.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004463,4557.0,126.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004488,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004507,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004544,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004581,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004593,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004600,85372.0,7.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004631,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004644,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004698,25339.0,38.0
SAMEA2466887,Hybrid (hybridspades),MGYG000004733,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004740,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004769,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004778,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004789,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004811,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004873,,
SAMEA2466887,Hybrid (hybridspades),MGYG000004897,,
SAMEA2466887,Hybrid (hybridspades),MGYG000006745,,
SAMEA2466887,Hybrid (hybridspades),MGYG000055572,,
SAMEA2466887,Hybrid (hybridspades),MGYG000066600,,
SAMEA2466887,Hybrid (hybridspades),MGYG000074969,,
SAMEA2466887,Hybrid (hybridspades),MGYG000145940,,
SAMEA2466887,Hybrid (hybridspades),MGYG000147988,,
SAMEA2466887,Hybrid (hybridspades),MGYG000177238,,
SAMEA2466887,Hybrid (hybridspades),MGYG000262994,,
SAMEA2466887,LR (metaflye),MGYG000000002,,
SAMEA2466887,LR (metaflye),MGYG000000003,,
SAMEA2466887,LR (metaflye),MGYG000000022,,
SAMEA2466887,LR (metaflye),MGYG000000028,,
SAMEA2466887,LR (metaflye),MGYG000000029,,
SAMEA2466887,LR (metaflye),MGYG000000031,,
SAMEA2466887,LR (metaflye),MGYG000000033,,
SAMEA2466887,LR (metaflye),MGYG000000037,,
SAMEA2466887,LR (metaflye),MGYG000000038,,
SAMEA2466887,LR (metaflye),MGYG000000041,,
SAMEA2466887,LR (metaflye),MGYG000000044,,
SAMEA2466887,LR (metaflye),MGYG000000045,,
SAMEA2466887,LR (metaflye),MGYG000000050,,
SAMEA2466887,LR (metaflye),MGYG000000060,,
SAMEA2466887,LR (metaflye),MGYG000000062,,
SAMEA2466887,LR (metaflye),MGYG000000074,,
SAMEA2466887,LR (metaflye),MGYG000000087,,
SAMEA2466887,LR (metaflye),MGYG000000105,,
SAMEA2466887,LR (metaflye),MGYG000000136,,
SAMEA2466887,LR (metaflye),MGYG000000139,,
SAMEA2466887,LR (metaflye),MGYG000000140,,
SAMEA2466887,LR (metaflye),MGYG000000141,,
SAMEA2466887,LR (metaflye),MGYG000000142,,
SAMEA2466887,LR (metaflye),MGYG000000144,,
SAMEA2466887,LR (metaflye),MGYG000000146,,
SAMEA2466887,LR (metaflye),MGYG000000149,,
SAMEA2466887,LR (metaflye),MGYG000000154,,
SAMEA2466887,LR (metaflye),MGYG000000169,,
SAMEA2466887,LR (metaflye),MGYG000000171,,
SAMEA2466887,LR (metaflye),MGYG000000185,,
SAMEA2466887,LR (metaflye),MGYG000000187,50304.0,19.0
SAMEA2466887,LR (metaflye),MGYG000000189,579390.0,2.0
SAMEA2466887,LR (metaflye),MGYG000000190,,
SAMEA2466887,LR (metaflye),MGYG000000193,,
SAMEA2466887,LR (metaflye),MGYG000000203,,
SAMEA2466887,LR (metaflye),MGYG000000205,,
SAMEA2466887,LR (metaflye),MGYG000000206,,
SAMEA2466887,LR (metaflye),MGYG000000208,,
SAMEA2466887,LR (metaflye),MGYG000000209,,
SAMEA2466887,LR (metaflye),MGYG000000212,,
SAMEA2466887,LR (metaflye),MGYG000000217,,
SAMEA2466887,LR (metaflye),MGYG000000226,,
SAMEA2466887,LR (metaflye),MGYG000000229,,
SAMEA2466887,LR (metaflye),MGYG000000233,,
SAMEA2466887,LR (metaflye),MGYG000000242,,
SAMEA2466887,LR (metaflye),MGYG000000243,65015.0,16.0
SAMEA2466887,LR (metaflye),MGYG000000249,,
SAMEA2466887,LR (metaflye),MGYG000000250,,
SAMEA2466887,LR (metaflye),MGYG000000251,,
SAMEA2466887,LR (metaflye),MGYG000000252,,
SAMEA2466887,LR (metaflye),MGYG000000254,,
SAMEA2466887,LR (metaflye),MGYG000000255,,
SAMEA2466887,LR (metaflye),MGYG000000258,1564258.0,1.0
SAMEA2466887,LR (metaflye),MGYG000000259,,
SAMEA2466887,LR (metaflye),MGYG000000262,,
SAMEA2466887,LR (metaflye),MGYG000000263,,
SAMEA2466887,LR (metaflye),MGYG000000269,,
SAMEA2466887,LR (metaflye),MGYG000000271,,
SAMEA2466887,LR (metaflye),MGYG000000278,,
SAMEA2466887,LR (metaflye),MGYG000000280,,
SAMEA2466887,LR (metaflye),MGYG000000332,132832.0,4.0
SAMEA2466887,LR (metaflye),MGYG000000359,,
SAMEA2466887,LR (metaflye),MGYG000000365,56864.0,6.0
SAMEA2466887,LR (metaflye),MGYG000000367,,
SAMEA2466887,LR (metaflye),MGYG000000369,,
SAMEA2466887,LR (metaflye),MGYG000000370,,
SAMEA2466887,LR (metaflye),MGYG000000378,,
SAMEA2466887,LR (metaflye),MGYG000000386,,
SAMEA2466887,LR (metaflye),MGYG000000404,,
SAMEA2466887,LR (metaflye),MGYG000000405,,
SAMEA2466887,LR (metaflye),MGYG000000417,,
SAMEA2466887,LR (metaflye),MGYG000000420,,
SAMEA2466887,LR (metaflye),MGYG000000427,,
SAMEA2466887,LR (metaflye),MGYG000000431,259234.0,2.0
SAMEA2466887,LR (metaflye),MGYG000000446,,
SAMEA2466887,LR (metaflye),MGYG000000449,,
SAMEA2466887,LR (metaflye),MGYG000000457,,
SAMEA2466887,LR (metaflye),MGYG000000476,,
SAMEA2466887,LR (metaflye),MGYG000000484,179014.0,5.0
SAMEA2466887,LR (metaflye),MGYG000000530,,
SAMEA2466887,LR (metaflye),MGYG000000540,19675.0,20.0
SAMEA2466887,LR (metaflye),MGYG000000562,,
SAMEA2466887,LR (metaflye),MGYG000000646,161537.0,4.0
SAMEA2466887,LR (metaflye),MGYG000000651,,
SAMEA2466887,LR (metaflye),MGYG000000668,,
SAMEA2466887,LR (metaflye),MGYG000000714,19455.0,18.0
SAMEA2466887,LR (metaflye),MGYG000000730,68749.0,10.0
SAMEA2466887,LR (metaflye),MGYG000000741,,
SAMEA2466887,LR (metaflye),MGYG000000743,,
SAMEA2466887,LR (metaflye),MGYG000000784,57882.0,10.0
SAMEA2466887,LR (metaflye),MGYG000000791,14305.0,28.0
SAMEA2466887,LR (metaflye),MGYG000000956,1280410.0,1.0
SAMEA2466887,LR (metaflye),MGYG000000980,,
SAMEA2466887,LR (metaflye),MGYG000001007,,
SAMEA2466887,LR (metaflye),MGYG000001029,99251.0,8.0
SAMEA2466887,LR (metaflye),MGYG000001057,,
SAMEA2466887,LR (metaflye),MGYG000001151,,
SAMEA2466887,LR (metaflye),MGYG000001178,,
SAMEA2466887,LR (metaflye),MGYG000001182,,
SAMEA2466887,LR (metaflye),MGYG000001191,,
SAMEA2466887,LR (metaflye),MGYG000001292,,
SAMEA2466887,LR (metaflye),MGYG000001294,,
SAMEA2466887,LR (metaflye),MGYG000001300,,
SAMEA2466887,LR (metaflye),MGYG000001302.1,,
SAMEA2466887,LR (metaflye),MGYG000001310,29747.0,21.0
SAMEA2466887,LR (metaflye),MGYG000001315,,
SAMEA2466887,LR (metaflye),MGYG000001319,,
SAMEA2466887,LR (metaflye),MGYG000001321,,
SAMEA2466887,LR (metaflye),MGYG000001331,,
SAMEA2466887,LR (metaflye),MGYG000001338,,
SAMEA2466887,LR (metaflye),MGYG000001345,,
SAMEA2466887,LR (metaflye),MGYG000001346,915359.0,2.0
SAMEA2466887,LR (metaflye),MGYG000001359,,
SAMEA2466887,LR (metaflye),MGYG000001375,,
SAMEA2466887,LR (metaflye),MGYG000001378,,
SAMEA2466887,LR (metaflye),MGYG000001391,,
SAMEA2466887,LR (metaflye),MGYG000001423,,
SAMEA2466887,LR (metaflye),MGYG000001433,,
SAMEA2466887,LR (metaflye),MGYG000001455.1,,
SAMEA2466887,LR (metaflye),MGYG000001456.1,,
SAMEA2466887,LR (metaflye),MGYG000001490,,
SAMEA2466887,LR (metaflye),MGYG000001512,,
SAMEA2466887,LR (metaflye),MGYG000001529,,
SAMEA2466887,LR (metaflye),MGYG000001565,,
SAMEA2466887,LR (metaflye),MGYG000001627,,
SAMEA2466887,LR (metaflye),MGYG000001637,,
SAMEA2466887,LR (metaflye),MGYG000001652,,
SAMEA2466887,LR (metaflye),MGYG000001672,37355.0,10.0
SAMEA2466887,LR (metaflye),MGYG000001714,,
SAMEA2466887,LR (metaflye),MGYG000001764,,
SAMEA2466887,LR (metaflye),MGYG000001835,8135.0,56.0
SAMEA2466887,LR (metaflye),MGYG000001919,,
SAMEA2466887,LR (metaflye),MGYG000001946,81744.0,4.0
SAMEA2466887,LR (metaflye),MGYG000002014,,
SAMEA2466887,LR (metaflye),MGYG000002021,,
SAMEA2466887,LR (metaflye),MGYG000002029,,
SAMEA2466887,LR (metaflye),MGYG000002057,,
SAMEA2466887,LR (metaflye),MGYG000002105,,
SAMEA2466887,LR (metaflye),MGYG000002163,1718468.0,1.0
SAMEA2466887,LR (metaflye),MGYG000002175,64765.0,4.0
SAMEA2466887,LR (metaflye),MGYG000002272,,
SAMEA2466887,LR (metaflye),MGYG000002274,,
SAMEA2466887,LR (metaflye),MGYG000002279,,
SAMEA2466887,LR (metaflye),MGYG000002281,,
SAMEA2466887,LR (metaflye),MGYG000002287,,
SAMEA2466887,LR (metaflye),MGYG000002292,,
SAMEA2466887,LR (metaflye),MGYG000002304,,
SAMEA2466887,LR (metaflye),MGYG000002312,,
SAMEA2466887,LR (metaflye),MGYG000002321,,
SAMEA2466887,LR (metaflye),MGYG000002438,,
SAMEA2466887,LR (metaflye),MGYG000002445,,
SAMEA2466887,LR (metaflye),MGYG000002454,690956.0,2.0
SAMEA2466887,LR (metaflye),MGYG000002455,,
SAMEA2466887,LR (metaflye),MGYG000002478,,
SAMEA2466887,LR (metaflye),MGYG000002492,736643.0,2.0
SAMEA2466887,LR (metaflye),MGYG000002506,,
SAMEA2466887,LR (metaflye),MGYG000002517,,
SAMEA2466887,LR (metaflye),MGYG000002528,,
SAMEA2466887,LR (metaflye),MGYG000002530,,
SAMEA2466887,LR (metaflye),MGYG000002540,,
SAMEA2466887,LR (metaflye),MGYG000002545,,
SAMEA2466887,LR (metaflye),MGYG000002549,,
SAMEA2466887,LR (metaflye),MGYG000002563,,
SAMEA2466887,LR (metaflye),MGYG000002580,,
SAMEA2466887,LR (metaflye),MGYG000002609,,
SAMEA2466887,LR (metaflye),MGYG000002622,,
SAMEA2466887,LR (metaflye),MGYG000002633,,
SAMEA2466887,LR (metaflye),MGYG000002681,,
SAMEA2466887,LR (metaflye),MGYG000002684,,
SAMEA2466887,LR (metaflye),MGYG000002689,,
SAMEA2466887,LR (metaflye),MGYG000002698,,
SAMEA2466887,LR (metaflye),MGYG000002715,,
SAMEA2466887,LR (metaflye),MGYG000002720,,
SAMEA2466887,LR (metaflye),MGYG000002773,43677.0,10.0
SAMEA2466887,LR (metaflye),MGYG000002776,,
SAMEA2466887,LR (metaflye),MGYG000002831,14440.0,25.0
