assembly,mag,reference,Ref_name,ANI,Align_fraction_ref,Align_fraction_query,recovered
Hybrid (hybridspades),SemiBin_100_3,MGYG000001770,MGYG000001770_1,99.88,80.8,93.21,True
Hybrid (hybridspades),SemiBin_100_4,MGYG000002327,MGYG000002327_1,99.69,65.29,83.11,True
Hybrid (hybridspades),SemiBin_102_1,MGYG000001129,MGYG000001129_1,99.83,85.24,97.36,True
Hybrid (hybridspades),SemiBin_102_8,MGYG000000215,MGYG000000215_1,99.92,78.9,95.18,True
Hybrid (hybridspades),SemiBin_103_10,MGYG000000602,MGYG000000602_1,99.9,88.55,99.26,True
Hybrid (hybridspades),SemiBin_103_12,MGYG000002285,MGYG000002285_1,99.89,71.48,97.66,True
Hybrid (hybridspades),SemiBin_104_15,MGYG000002633,MGYG000002633_1,99.88,85.58,98.61,True
Hybrid (hybridspades),SemiBin_105_8,MGYG000000414,MGYG000000414_1,99.87,87.95,97.67,True
Hybrid (hybridspades),SemiBin_107_11,MGYG000004296,MGYG000004296_1,99.65,86.92,96.23,True
Hybrid (hybridspades),SemiBin_108_12,MGYG000000183,MGYG000000183_1,99.83,85.83,98.61,True
Hybrid (hybridspades),SemiBin_108_19,MGYG000003973,MGYG000003973_1,99.7,82.58,98.68,True
Hybrid (hybridspades),SemiBin_109_12,MGYG000001244,MGYG000001244_1,99.84,92.98,99.28,True
Hybrid (hybridspades),SemiBin_10_11,MGYG000004507,MGYG000004507_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_10_20,MGYG000000231,MGYG000000231_1,99.97,94.33,99.53,True
Hybrid (hybridspades),SemiBin_10_23,MGYG000002926,MGYG000002926_1,100.0,78.59,100.0,True
Hybrid (hybridspades),SemiBin_10_29,MGYG000001848,MGYG000001848_1,99.98,86.45,100.0,True
Hybrid (hybridspades),SemiBin_10_36,MGYG000000045,MGYG000000045_1,99.98,93.23,99.98,True
Hybrid (hybridspades),SemiBin_10_43,MGYG000003090,MGYG000003090_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_10_6,MGYG000001433,MGYG000001433_1,99.97,83.56,99.54,True
Hybrid (hybridspades),SemiBin_110_14,MGYG000001410,MGYG000001410_1,99.77,88.08,98.13,True
Hybrid (hybridspades),SemiBin_111_13,MGYG000004581,MGYG000004581_1,99.85,94.54,98.03,True
Hybrid (hybridspades),SemiBin_112_22,MGYG000000069,MGYG000000069_1,99.8,66.68,95.22,True
Hybrid (hybridspades),SemiBin_112_26,MGYG000004618,MGYG000004618_1,99.79,94.37,97.19,True
Hybrid (hybridspades),SemiBin_112_6,MGYG000002681,MGYG000002681_1,99.78,81.05,97.07,True
Hybrid (hybridspades),SemiBin_113_18,MGYG000000205,MGYG000000205_1,99.93,65.19,99.44,True
Hybrid (hybridspades),SemiBin_113_5,MGYG000004513,MGYG000004513_1,99.86,81.31,96.96,True
Hybrid (hybridspades),SemiBin_114_9,MGYG000002552,MGYG000002552_1,99.89,86.16,98.36,True
Hybrid (hybridspades),SemiBin_117_21,MGYG000001060,MGYG000001060_1,99.84,87.63,96.98,True
Hybrid (hybridspades),SemiBin_117_27,MGYG000000148,MGYG000000148_1,99.9,75.3,94.72,True
Hybrid (hybridspades),SemiBin_119_25,MGYG000001627,MGYG000001627_1,99.7,86.26,88.82,True
Hybrid (hybridspades),SemiBin_11_2,MGYG000001346,MGYG000001346_1,99.98,98.6,98.22,True
Hybrid (hybridspades),SemiBin_11_23,MGYG000000784,MGYG000000784_1,100.0,80.56,95.92,True
Hybrid (hybridspades),SemiBin_11_29,MGYG000002955,MGYG000002955_1,99.99,98.86,99.93,True
Hybrid (hybridspades),SemiBin_11_35,MGYG000003987,MGYG000003987_1,99.98,85.56,98.78,True
Hybrid (hybridspades),SemiBin_11_38,MGYG000000190,MGYG000000190_1,99.9,97.65,99.6,True
Hybrid (hybridspades),SemiBin_11_4,MGYG000002072,MGYG000002072_1,99.99,90.76,100.0,True
Hybrid (hybridspades),SemiBin_11_6,MGYG000001866,MGYG000001866_1,99.99,84.48,100.0,True
Hybrid (hybridspades),SemiBin_11_8,MGYG000000022,MGYG000000022_1,99.93,74.47,99.94,True
Hybrid (hybridspades),SemiBin_120_11,MGYG000001919,MGYG000001919_1,99.87,87.56,90.57,True
Hybrid (hybridspades),SemiBin_120_6,MGYG000001236,MGYG000001236_1,99.7,80.35,94.87,True
Hybrid (hybridspades),SemiBin_121_34,MGYG000000252,MGYG000000252_1,99.71,58.64,90.39,True
Hybrid (hybridspades),SemiBin_123_22,MGYG000000404,MGYG000000404_1,99.79,78.91,95.7,True
Hybrid (hybridspades),SemiBin_12_12,MGYG000001440,MGYG000001440_1,99.97,99.05,99.46,True
Hybrid (hybridspades),SemiBin_12_14,MGYG000000958,MGYG000000958_1,99.99,100.0,99.99,True
Hybrid (hybridspades),SemiBin_12_16,MGYG000002016,MGYG000002016_1,99.98,98.29,99.68,True
Hybrid (hybridspades),SemiBin_12_17,MGYG000000139,MGYG000000139_1,99.93,93.64,99.77,True
Hybrid (hybridspades),SemiBin_12_19,MGYG000000209,MGYG000000209_1,99.96,97.48,99.48,True
Hybrid (hybridspades),SemiBin_12_27,MGYG000003656,MGYG000003656_1,99.99,99.86,99.38,True
Hybrid (hybridspades),SemiBin_12_30,MGYG000003411,MGYG000003411_1,100.0,99.9,99.88,True
Hybrid (hybridspades),SemiBin_12_32,MGYG000003022,MGYG000003022_1,99.99,69.93,100.0,True
Hybrid (hybridspades),SemiBin_12_44,MGYG000001389,MGYG000001389_1,99.98,97.28,99.97,True
Hybrid (hybridspades),SemiBin_12_49,MGYG000002573,MGYG000002573_1,99.99,78.78,99.18,True
Hybrid (hybridspades),SemiBin_13,MGYG000001673,MGYG000001673_1,99.98,77.44,97.84,True
Hybrid (hybridspades),SemiBin_130_22,MGYG000003937,MGYG000003937_1,99.95,87.08,98.84,True
Hybrid (hybridspades),SemiBin_133_17,MGYG000001199,MGYG000001199_1,99.81,75.84,98.26,True
Hybrid (hybridspades),SemiBin_13_10,MGYG000001714,MGYG000001714_1,99.85,91.07,99.44,True
Hybrid (hybridspades),SemiBin_13_16,MGYG000002478,MGYG000002478_1,99.98,99.03,99.77,True
Hybrid (hybridspades),SemiBin_13_18,MGYG000001959,MGYG000001959_1,100.0,100.0,99.34,True
Hybrid (hybridspades),SemiBin_13_25,MGYG000000419,MGYG000000419_1,100.0,100.0,94.02,True
Hybrid (hybridspades),SemiBin_13_30,MGYG000001120,MGYG000001120_1,99.99,97.1,99.98,True
Hybrid (hybridspades),SemiBin_13_31,MGYG000000273,MGYG000000273_1,99.97,88.5,99.98,True
Hybrid (hybridspades),SemiBin_13_35,MGYG000003326,MGYG000003326_1,99.99,81.18,93.01,True
Hybrid (hybridspades),SemiBin_13_45,MGYG000001946,MGYG000001946_1,99.99,100.0,95.55,True
Hybrid (hybridspades),SemiBin_13_5,MGYG000001963,MGYG000001963_1,99.99,90.98,98.82,True
Hybrid (hybridspades),SemiBin_14,MGYG000002218,MGYG000002218_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_141_1,MGYG000004565,MGYG000004565_1,99.75,90.69,98.88,True
Hybrid (hybridspades),SemiBin_141_12,MGYG000001565,MGYG000001565_1,99.82,77.39,94.36,True
Hybrid (hybridspades),SemiBin_142_25,MGYG000001315,MGYG000001315_1,99.88,63.64,95.13,True
Hybrid (hybridspades),SemiBin_143_3,MGYG000003224,MGYG000003224_1,99.7,80.95,99.11,True
Hybrid (hybridspades),SemiBin_143_4,MGYG000001415,MGYG000001415_1,99.82,83.47,98.12,True
Hybrid (hybridspades),SemiBin_14_19,MGYG000001551,MGYG000001551_1,99.99,78.55,97.05,True
Hybrid (hybridspades),SemiBin_14_20,MGYG000000192,MGYG000000192_1,99.96,71.45,99.85,True
Hybrid (hybridspades),SemiBin_14_24,MGYG000004155,MGYG000004155_1,99.99,99.96,99.9,True
Hybrid (hybridspades),SemiBin_14_26,MGYG000001378,MGYG000001378_1,99.97,94.6,98.82,True
Hybrid (hybridspades),SemiBin_14_28,MGYG000004086,MGYG000004086_1,100.0,68.77,100.0,True
Hybrid (hybridspades),SemiBin_14_38,MGYG000004226,MGYG000004226_1,99.98,77.15,94.49,True
Hybrid (hybridspades),SemiBin_156_20,MGYG000000417,MGYG000000417_1,99.85,83.77,95.79,True
Hybrid (hybridspades),SemiBin_15_10,MGYG000001359,MGYG000001359_1,99.99,88.85,99.96,True
Hybrid (hybridspades),SemiBin_15_12,MGYG000002144,MGYG000002144_1,99.99,89.76,100.0,True
Hybrid (hybridspades),SemiBin_15_21,MGYG000004576,MGYG000004576_1,99.99,98.61,100.0,True
Hybrid (hybridspades),SemiBin_15_28,MGYG000001745,MGYG000001745_1,99.98,82.21,97.23,True
Hybrid (hybridspades),SemiBin_15_29,MGYG000001370,MGYG000001370_1,99.86,92.13,94.73,True
Hybrid (hybridspades),SemiBin_15_32,MGYG000002528,MGYG000002528_1,99.98,90.1,99.34,True
Hybrid (hybridspades),SemiBin_15_35,MGYG000000233,MGYG000000233_1,99.9,88.47,99.59,True
Hybrid (hybridspades),SemiBin_15_36,MGYG000000144,MGYG000000144_1,99.99,92.48,99.98,True
Hybrid (hybridspades),SemiBin_15_9,MGYG000003693,MGYG000003693_1,99.81,77.69,95.62,True
Hybrid (hybridspades),SemiBin_163_19,MGYG000000216,MGYG000000216_1,99.77,60.03,95.3,True
Hybrid (hybridspades),SemiBin_16_7,MGYG000000253,MGYG000000253_1,99.96,86.56,99.73,True
Hybrid (hybridspades),SemiBin_17_11,MGYG000002540,MGYG000002540_1,99.95,98.33,96.74,True
Hybrid (hybridspades),SemiBin_17_12,MGYG000000243,MGYG000000243_1,99.94,91.98,99.99,True
Hybrid (hybridspades),SemiBin_17_19,MGYG000000933,MGYG000000933_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_17_37,MGYG000003217,MGYG000003217_1,99.99,97.0,99.89,True
Hybrid (hybridspades),SemiBin_17_41,MGYG000000696,MGYG000000696_1,99.93,80.75,97.88,True
Hybrid (hybridspades),SemiBin_18_20,MGYG000000530,MGYG000000530_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_18_23,MGYG000002480,MGYG000002480_1,99.99,84.64,99.73,True
Hybrid (hybridspades),SemiBin_191_13,MGYG000004017,MGYG000004017_1,99.79,78.7,97.89,True
Hybrid (hybridspades),SemiBin_19_16,MGYG000000099,MGYG000000099_1,99.99,73.95,98.01,True
Hybrid (hybridspades),SemiBin_19_18,MGYG000004006,MGYG000004006_1,99.92,98.84,99.61,True
Hybrid (hybridspades),SemiBin_19_30,MGYG000000277,MGYG000000277_1,99.99,77.01,98.98,True
Hybrid (hybridspades),SemiBin_19_43,MGYG000000154,MGYG000000154_1,99.97,92.05,97.81,True
Hybrid (hybridspades),SemiBin_1_11,MGYG000004158,MGYG000004158_1,99.99,100.0,98.73,True
Hybrid (hybridspades),SemiBin_1_12,MGYG000000723,MGYG000000723_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_1_13,MGYG000004282,MGYG000004282_1,100.0,99.9,99.8,True
Hybrid (hybridspades),SemiBin_1_16,MGYG000002371,MGYG000002371_1,99.99,99.32,100.0,True
Hybrid (hybridspades),SemiBin_1_25,MGYG000004643,MGYG000004643_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_1_26,MGYG000002459,MGYG000002459_1,100.0,99.49,100.0,True
Hybrid (hybridspades),SemiBin_1_3,MGYG000004323,MGYG000004323_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_1_31,MGYG000004586,MGYG000004586_1,99.98,89.07,95.14,True
Hybrid (hybridspades),SemiBin_1_35,MGYG000000226,MGYG000000226_1,100.0,81.46,100.0,True
Hybrid (hybridspades),SemiBin_1_47,MGYG000000669,MGYG000000669_1,99.99,99.99,100.0,True
Hybrid (hybridspades),SemiBin_1_48,MGYG000002969,MGYG000002969_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_1_49,MGYG000001723,MGYG000001723_1,99.99,99.95,99.86,True
Hybrid (hybridspades),SemiBin_20_18,MGYG000003925,MGYG000003925_1,99.98,85.84,93.51,True
Hybrid (hybridspades),SemiBin_20_27,MGYG000004143,MGYG000004143_1,99.96,79.79,94.01,True
Hybrid (hybridspades),SemiBin_20_37,MGYG000003979,MGYG000003979_1,99.98,78.62,99.21,True
Hybrid (hybridspades),SemiBin_21_20,MGYG000001500,MGYG000001500_1,99.97,81.45,99.51,True
Hybrid (hybridspades),SemiBin_21_22,MGYG000002556,MGYG000002556_1,99.98,84.17,96.22,True
Hybrid (hybridspades),SemiBin_21_3,MGYG000000195,MGYG000000195_1,99.95,89.03,99.88,True
Hybrid (hybridspades),SemiBin_21_31,MGYG000003683,MGYG000003683_1,99.99,85.83,99.18,True
Hybrid (hybridspades),SemiBin_22_16,MGYG000000484,MGYG000000484_1,99.99,90.81,99.83,True
Hybrid (hybridspades),SemiBin_22_18,MGYG000000201,MGYG000000201_1,99.92,87.95,93.66,True
Hybrid (hybridspades),SemiBin_22_23,MGYG000002544,MGYG000002544_1,99.9,92.38,99.25,True
Hybrid (hybridspades),SemiBin_23,MGYG000000038,MGYG000000038_1,99.93,85.66,99.7,True
Hybrid (hybridspades),SemiBin_23_10,MGYG000000002,MGYG000000002_1,99.91,83.07,98.69,True
Hybrid (hybridspades),SemiBin_23_14,MGYG000004055,MGYG000004055_1,99.99,89.38,98.59,True
Hybrid (hybridspades),SemiBin_23_16,MGYG000003694,MGYG000003694_1,99.97,84.41,99.11,True
Hybrid (hybridspades),SemiBin_23_24,MGYG000002547,MGYG000002547_1,99.95,87.34,99.99,True
Hybrid (hybridspades),SemiBin_23_4,MGYG000001619,MGYG000001619_1,99.99,76.86,99.85,True
Hybrid (hybridspades),SemiBin_23_42,MGYG000001186,MGYG000001186_1,99.96,90.25,95.49,True
Hybrid (hybridspades),SemiBin_23_47,MGYG000001606,MGYG000001606_1,99.97,85.41,98.72,True
Hybrid (hybridspades),SemiBin_23_5,MGYG000004390,MGYG000004390_1,99.97,93.63,88.55,True
Hybrid (hybridspades),SemiBin_24_2,MGYG000000206,MGYG000000206_1,99.98,66.84,99.34,True
Hybrid (hybridspades),SemiBin_24_25,MGYG000001374,MGYG000001374_1,99.93,95.87,99.84,True
Hybrid (hybridspades),SemiBin_24_44,MGYG000003697,MGYG000003697_1,99.88,82.87,95.66,True
Hybrid (hybridspades),SemiBin_25_27,MGYG000003440,MGYG000003440_1,99.99,99.75,99.04,True
Hybrid (hybridspades),SemiBin_25_30,MGYG000000193,MGYG000000193_1,99.94,85.01,99.98,True
Hybrid (hybridspades),SemiBin_25_37,MGYG000001313,MGYG000001313_1,99.93,93.0,91.77,True
Hybrid (hybridspades),SemiBin_25_38,MGYG000000282,MGYG000000282_1,99.9,79.67,99.5,True
Hybrid (hybridspades),SemiBin_25_4,MGYG000000208,MGYG000000208_1,99.98,86.14,100.0,True
Hybrid (hybridspades),SemiBin_26_10,MGYG000002545,MGYG000002545_1,99.94,91.9,95.61,True
Hybrid (hybridspades),SemiBin_26_11,MGYG000000249,MGYG000000249_1,99.93,74.47,98.69,True
Hybrid (hybridspades),SemiBin_26_6,MGYG000001293,MGYG000001293_1,99.99,98.33,99.45,True
Hybrid (hybridspades),SemiBin_27_16,MGYG000001254,MGYG000001254_1,99.98,88.38,99.0,True
Hybrid (hybridspades),SemiBin_27_23,MGYG000000611,MGYG000000611_1,99.99,78.18,99.66,True
Hybrid (hybridspades),SemiBin_27_30,MGYG000000604,MGYG000000604_1,99.98,99.44,99.43,True
Hybrid (hybridspades),SemiBin_27_34,MGYG000002446,MGYG000002446_1,99.97,97.28,99.95,True
Hybrid (hybridspades),SemiBin_27_35,MGYG000000150,MGYG000000150_1,99.94,75.41,98.17,True
Hybrid (hybridspades),SemiBin_27_6,MGYG000004245,MGYG000004245_1,99.97,88.81,99.51,True
Hybrid (hybridspades),SemiBin_28_29,MGYG000001901,MGYG000001901_1,99.99,94.23,99.21,True
Hybrid (hybridspades),SemiBin_28_31,MGYG000001375,MGYG000001375_1,99.78,99.12,98.58,True
Hybrid (hybridspades),SemiBin_28_39,MGYG000002558,MGYG000002558_1,99.93,99.56,99.66,True
Hybrid (hybridspades),SemiBin_29_2,MGYG000001396,MGYG000001396_1,99.91,77.93,92.82,True
Hybrid (hybridspades),SemiBin_29_39,MGYG000000730,MGYG000000730_1,99.98,97.0,99.89,True
Hybrid (hybridspades),SemiBin_29_9,MGYG000002298,MGYG000002298_1,99.93,75.88,94.22,True
Hybrid (hybridspades),SemiBin_2_13,MGYG000001160,MGYG000001160_1,100.0,99.96,99.95,True
Hybrid (hybridspades),SemiBin_2_15,MGYG000000105,MGYG000000105_1,99.97,95.82,100.0,True
Hybrid (hybridspades),SemiBin_2_16,MGYG000004578,MGYG000004578_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_2_21,MGYG000002570,MGYG000002570_1,99.99,98.67,99.91,True
Hybrid (hybridspades),SemiBin_2_24,MGYG000000258,MGYG000000258_1,99.98,100.0,100.0,True
Hybrid (hybridspades),SemiBin_2_25,MGYG000001136,MGYG000001136_1,100.0,99.88,99.89,True
Hybrid (hybridspades),SemiBin_2_27,MGYG000002227,MGYG000002227_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_2_28,MGYG000001194,MGYG000001194_1,99.99,82.07,80.0,True
Hybrid (hybridspades),SemiBin_2_29,MGYG000002164,MGYG000002164_1,99.97,99.8,99.98,True
Hybrid (hybridspades),SemiBin_2_3,MGYG000000225,MGYG000000225_1,100.0,99.83,99.82,True
Hybrid (hybridspades),SemiBin_2_31,MGYG000002163,MGYG000002163_1,99.98,99.39,99.99,True
Hybrid (hybridspades),SemiBin_2_34,MGYG000000179,MGYG000000179_1,99.97,92.33,99.63,True
Hybrid (hybridspades),SemiBin_2_36,MGYG000004498,MGYG000004498_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_2_48,MGYG000001168,MGYG000001168_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_2_49,MGYG000001029,MGYG000001029_1,100.0,99.92,99.93,True
Hybrid (hybridspades),SemiBin_30_16,MGYG000002021,MGYG000002021_1,99.98,100.0,100.0,True
Hybrid (hybridspades),SemiBin_30_25,MGYG000004083,MGYG000004083_1,99.98,65.37,95.1,True
Hybrid (hybridspades),SemiBin_31_16,MGYG000002993,MGYG000002993_1,99.99,98.3,99.03,True
Hybrid (hybridspades),SemiBin_31_19,MGYG000001589,MGYG000001589_1,99.99,91.84,100.0,True
Hybrid (hybridspades),SemiBin_32,MGYG000000169,MGYG000000169_1,99.97,70.21,99.76,True
Hybrid (hybridspades),SemiBin_32_13,MGYG000000043,MGYG000000043_1,99.96,76.51,99.06,True
Hybrid (hybridspades),SemiBin_32_14,MGYG000004250,MGYG000004250_1,99.98,85.14,99.1,True
Hybrid (hybridspades),SemiBin_32_28,MGYG000000039,MGYG000000039_1,99.3,76.2,84.2,True
Hybrid (hybridspades),SemiBin_32_46,MGYG000001345,MGYG000001345_1,99.78,83.62,96.97,True
Hybrid (hybridspades),SemiBin_33_13,MGYG000004463,MGYG000004463_1,99.97,83.53,97.83,True
Hybrid (hybridspades),SemiBin_33_15,MGYG000000068,MGYG000000068_1,99.93,76.73,97.91,True
Hybrid (hybridspades),SemiBin_33_17,MGYG000001737,MGYG000001737_1,99.95,92.29,99.69,True
Hybrid (hybridspades),SemiBin_33_19,MGYG000002455,MGYG000002455_1,99.94,85.94,98.56,True
Hybrid (hybridspades),SemiBin_33_41,MGYG000001379,MGYG000001379_1,99.95,84.26,99.85,True
Hybrid (hybridspades),SemiBin_33_48,MGYG000001413,MGYG000001413_1,99.92,99.57,95.26,True
Hybrid (hybridspades),SemiBin_34_42,MGYG000003681,MGYG000003681_1,99.88,74.2,97.62,True
Hybrid (hybridspades),SemiBin_35_12,MGYG000000278,MGYG000000278_1,99.9,66.47,93.41,True
Hybrid (hybridspades),SemiBin_35_35,MGYG000004552,MGYG000004552_1,99.98,87.29,99.62,True
Hybrid (hybridspades),SemiBin_35_48,MGYG000003702,MGYG000003702_1,99.93,76.63,98.69,True
Hybrid (hybridspades),SemiBin_35_8,MGYG000000078,MGYG000000078_1,99.97,80.41,97.2,True
Hybrid (hybridspades),SemiBin_36_23,MGYG000002099,MGYG000002099_1,99.96,73.86,96.62,True
Hybrid (hybridspades),SemiBin_36_34,MGYG000002616,MGYG000002616_1,99.97,60.31,99.93,True
Hybrid (hybridspades),SemiBin_36_36,MGYG000002445,MGYG000002445_1,99.8,82.08,99.57,True
Hybrid (hybridspades),SemiBin_37_20,MGYG000001402,MGYG000001402_1,99.99,59.97,97.74,True
Hybrid (hybridspades),SemiBin_37_22,MGYG000000262,MGYG000000262_1,99.95,93.53,98.4,True
Hybrid (hybridspades),SemiBin_37_27,MGYG000000060,MGYG000000060_1,99.85,91.85,99.76,True
Hybrid (hybridspades),SemiBin_37_28,MGYG000002723,MGYG000002723_1,99.98,90.52,99.28,True
Hybrid (hybridspades),SemiBin_37_35,MGYG000000242,MGYG000000242_1,99.94,86.71,99.72,True
Hybrid (hybridspades),SemiBin_38_22,MGYG000003718,MGYG000003718_1,99.96,87.94,95.37,True
Hybrid (hybridspades),SemiBin_38_32,MGYG000002353,MGYG000002353_1,99.99,81.62,98.04,True
Hybrid (hybridspades),SemiBin_38_35,MGYG000003233,MGYG000003233_1,99.95,81.93,98.86,True
Hybrid (hybridspades),SemiBin_39_18,MGYG000003990,MGYG000003990_1,99.93,88.31,99.59,True
Hybrid (hybridspades),SemiBin_39_40,MGYG000003963,MGYG000003963_1,99.91,94.26,92.19,True
Hybrid (hybridspades),SemiBin_3_20,MGYG000000076,MGYG000000076_1,99.99,74.4,99.9,True
Hybrid (hybridspades),SemiBin_3_26,MGYG000004337,MGYG000004337_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_3_33,MGYG000000930,MGYG000000930_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_3_36,MGYG000004642,MGYG000004642_1,100.0,85.46,100.0,True
Hybrid (hybridspades),SemiBin_3_40,MGYG000002040,MGYG000002040_1,99.99,77.81,100.0,True
Hybrid (hybridspades),SemiBin_3_44,MGYG000000412,MGYG000000412_1,100.0,83.05,99.98,True
Hybrid (hybridspades),SemiBin_3_45,MGYG000002492,MGYG000002492_1,99.97,94.08,99.87,True
Hybrid (hybridspades),SemiBin_3_9,MGYG000001556,MGYG000001556_1,99.98,97.8,99.72,True
Hybrid (hybridspades),SemiBin_40_11,MGYG000001301,MGYG000001301_2,99.94,93.34,96.38,True
Hybrid (hybridspades),SemiBin_40_16,MGYG000000271,MGYG000000271_1,99.91,91.89,99.22,True
Hybrid (hybridspades),SemiBin_40_37,MGYG000000187,MGYG000000187_1,99.86,70.03,92.34,True
Hybrid (hybridspades),SemiBin_40_4,MGYG000001319,MGYG000001319_1,99.97,69.44,92.61,True
Hybrid (hybridspades),SemiBin_40_45,MGYG000001097,MGYG000001097_1,99.98,96.34,99.32,True
Hybrid (hybridspades),SemiBin_41_10,MGYG000002483,MGYG000002483_1,99.89,69.89,98.05,True
Hybrid (hybridspades),SemiBin_41_11,MGYG000000072,MGYG000000072_1,99.97,82.19,99.52,True
Hybrid (hybridspades),SemiBin_41_18,MGYG000000240,MGYG000000240_1,99.96,86.87,99.08,True
Hybrid (hybridspades),SemiBin_41_28,MGYG000000263,MGYG000000263_1,99.92,89.4,97.73,True
Hybrid (hybridspades),SemiBin_41_7,MGYG000000977,MGYG000000977_1,99.99,74.09,97.79,True
Hybrid (hybridspades),SemiBin_42_10,MGYG000004526,MGYG000004526_1,99.98,98.38,91.78,True
Hybrid (hybridspades),SemiBin_42_12,MGYG000002720,MGYG000002720_1,99.93,91.49,95.8,True
Hybrid (hybridspades),SemiBin_42_16,MGYG000001057,MGYG000001057_1,99.97,99.52,98.8,True
Hybrid (hybridspades),SemiBin_42_20,MGYG000001314,MGYG000001314_1,99.98,76.9,91.07,True
Hybrid (hybridspades),SemiBin_42_28,MGYG000001177,MGYG000001177_1,99.96,88.41,99.69,True
Hybrid (hybridspades),SemiBin_42_4,MGYG000000370,MGYG000000370_1,99.93,66.63,97.23,True
Hybrid (hybridspades),SemiBin_42_7,MGYG000002292,MGYG000002292_1,99.97,81.91,100.0,True
Hybrid (hybridspades),SemiBin_43_13,MGYG000000133,MGYG000000133_1,99.49,62.23,86.74,True
Hybrid (hybridspades),SemiBin_43_20,MGYG000003242,MGYG000003242_1,99.98,98.65,99.21,True
Hybrid (hybridspades),SemiBin_43_22,MGYG000000901,MGYG000000901_1,99.98,94.68,99.17,True
Hybrid (hybridspades),SemiBin_43_25,MGYG000004431,MGYG000004431_1,99.97,77.78,99.68,True
Hybrid (hybridspades),SemiBin_43_40,MGYG000002393,MGYG000002393_1,99.92,92.55,91.87,True
Hybrid (hybridspades),SemiBin_44_29,MGYG000001303,MGYG000001303_1,99.94,79.48,92.9,True
Hybrid (hybridspades),SemiBin_44_31,MGYG000001361,MGYG000001361_1,99.98,91.87,100.0,True
Hybrid (hybridspades),SemiBin_45,MGYG000000725,MGYG000000725_1,99.94,86.23,97.98,True
Hybrid (hybridspades),SemiBin_45_19,MGYG000001338,MGYG000001338_1,99.96,73.99,82.71,True
