sample,assembly,Name,Completeness,Contamination,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Contigs,Max_Contig_Length
SAMEA2466887,Hybrid (hybridspades),SemiBin_151.fa,58.28,1.89,0.783,9232,193.51201011378,1750370,0.6,244,32576
SAMEA2466887,Hybrid (hybridspades),SemiBin_159.fa,23.16,1.6,0.718,9076,144.3230268510985,731707,0.4,100,31286
SAMEA2466887,Hybrid (hybridspades),SemiBin_16.fa,51.31,0.04,0.899,1287101,363.1851503759398,1287101,0.45,1,1287101
SAMEA2466887,Hybrid (hybridspades),SemiBin_160.fa,9.56,0.0,0.738,12193,183.4166666666666,522149,0.58,56,31183
SAMEA2466887,Hybrid (hybridspades),SemiBin_161.fa,7.29,0.26,0.885,23039,291.4385964912281,280765,0.4,16,31160
SAMEA2466887,Hybrid (hybridspades),SemiBin_162.fa,24.61,0.2,0.829,11391,220.3082039911308,1063635,0.5,111,31044
SAMEA2466887,Hybrid (hybridspades),SemiBin_163.fa,4.6,0.01,0.81,9672,197.7676767676768,288561,0.34,35,30418
SAMEA2466887,Hybrid (hybridspades),SemiBin_164.fa,9.72,0.03,0.687,4591,152.3182926829268,541420,0.31,114,30339
SAMEA2466887,Hybrid (hybridspades),SemiBin_17.fa,26.09,0.13,0.894,833268,344.7683039851714,1245810,0.43,3,833268
SAMEA2466887,Hybrid (hybridspades),SemiBin_170.fa,15.13,0.11,0.724,13012,136.0534069981584,605743,0.59,66,28782
SAMEA2466887,Hybrid (hybridspades),SemiBin_171.fa,13.23,0.04,0.761,11007,199.2542016806723,741972,0.52,90,28630
SAMEA2466887,Hybrid (hybridspades),SemiBin_173.fa,27.46,1.5,0.678,12153,145.3083090379009,876209,0.25,99,28410
SAMEA2466887,Hybrid (hybridspades),SemiBin_175.fa,15.69,0.12,0.767,12182,182.0064279155188,766160,0.48,86,27107
SAMEA2466887,Hybrid (hybridspades),SemiBin_176.fa,14.75,1.35,0.721,13307,156.4281767955801,934302,0.49,98,27072
SAMEA2466887,Hybrid (hybridspades),SemiBin_178.fa,12.57,0.11,0.784,8557,172.0550373134328,697418,0.45,88,26658
SAMEA2466887,Hybrid (hybridspades),SemiBin_179.fa,16.54,0.2,0.811,11677,205.4436363636364,618014,0.51,68,26657
SAMEA2466887,Hybrid (hybridspades),SemiBin_18.fa,86.97,30.92,0.907,907908,386.9849832049002,6469479,0.43,15,1278771
SAMEA2466887,Hybrid (hybridspades),SemiBin_181.fa,11.31,0.1,0.718,8360,153.6869109947644,608703,0.32,83,26366
SAMEA2466887,Hybrid (hybridspades),SemiBin_183.fa,24.19,4.24,0.628,8426,133.977570093458,1021159,0.27,143,25742
SAMEA2466887,Hybrid (hybridspades),SemiBin_184.fa,18.41,0.38,0.796,7995,187.4441087613293,925456,0.44,129,25373
SAMEA2466887,Hybrid (hybridspades),SemiBin_187.fa,7.88,0.03,0.759,11065,148.6733716475096,604027,0.42,72,24717
SAMEA2466887,Hybrid (hybridspades),SemiBin_188.fa,5.28,0.0,0.764,8579,181.3397435897436,218901,0.46,31,24067
SAMEA2466887,Hybrid (hybridspades),SemiBin_19.fa,34.79,0.0,0.886,1091619,339.3217665615142,1091619,0.42,1,1091619
SAMEA2466887,Hybrid (hybridspades),SemiBin_190.fa,9.23,0.07,0.762,10199,177.3595206391478,517508,0.41,65,23632
SAMEA2466887,Hybrid (hybridspades),SemiBin_191.fa,7.87,0.01,0.655,12957,115.4334975369458,317134,0.52,29,23571
SAMEA2466887,Hybrid (hybridspades),SemiBin_196.fa,6.22,0.04,0.774,7481,169.5177065767285,383835,0.47,56,22936
SAMEA2466887,Hybrid (hybridspades),SemiBin_2.fa,99.99,0.81,0.875,2178050,319.8556338028169,2178050,0.41,1,2178050
SAMEA2466887,Hybrid (hybridspades),SemiBin_20.fa,90.39,34.22,0.91,1050054,293.2916871618298,1960892,0.26,2,1050054
SAMEA2466887,Hybrid (hybridspades),SemiBin_202.fa,6.3,0.01,0.883,8528,319.6085271317829,279525,0.45,35,21333
SAMEA2466887,Hybrid (hybridspades),SemiBin_208.fa,4.64,0.0,0.848,5945,235.191011235955,220786,0.41,41,20243
SAMEA2466887,Hybrid (hybridspades),SemiBin_21.fa,40.88,0.02,0.911,391109,318.8762886597938,406287,0.25,2,391109
SAMEA2466887,Hybrid (hybridspades),SemiBin_211.fa,5.17,0.0,0.745,6968,206.7093023255814,284252,0.52,45,19659
SAMEA2466887,Hybrid (hybridspades),SemiBin_214.fa,12.94,0.1,0.918,6607,324.9459459459459,665527,0.46,118,19325
SAMEA2466887,Hybrid (hybridspades),SemiBin_215.fa,7.65,0.09,0.81,5261,197.3404255319149,477823,0.51,95,19320
SAMEA2466887,Hybrid (hybridspades),SemiBin_217.fa,5.79,0.0,0.735,8350,157.604826546003,420084,0.52,61,19128
SAMEA2466887,Hybrid (hybridspades),SemiBin_219.fa,9.58,0.15,0.769,9362,204.2540473225405,634664,0.57,78,19030
SAMEA2466887,Hybrid (hybridspades),SemiBin_22.fa,32.27,0.0,0.844,1011708,340.7882775119617,1011708,0.44,1,1011708
SAMEA2466887,Hybrid (hybridspades),SemiBin_222.fa,6.07,0.08,0.61,8172,119.4436090225564,464368,0.37,68,18601
SAMEA2466887,Hybrid (hybridspades),SemiBin_224.fa,7.76,0.01,0.742,9763,204.6997319034853,305330,0.52,39,18262
SAMEA2466887,Hybrid (hybridspades),SemiBin_227.fa,17.64,5.07,0.837,5784,227.5552840562004,1328251,0.37,252,18126
SAMEA2466887,Hybrid (hybridspades),SemiBin_23.fa,100.0,0.27,0.88,761878,312.9467343056436,3358488,0.41,12,952888
SAMEA2466887,Hybrid (hybridspades),SemiBin_238.fa,3.3,0.03,0.594,8481,104.4392220421394,320736,0.41,43,16605
SAMEA2466887,Hybrid (hybridspades),SemiBin_24.fa,68.76,0.0,0.886,859247,324.8568486096808,1065782,0.4,4,859247
SAMEA2466887,Hybrid (hybridspades),SemiBin_240.fa,23.21,4.12,0.755,5304,160.8486486486487,1054129,0.58,213,16507
SAMEA2466887,Hybrid (hybridspades),SemiBin_243.fa,4.05,0.07,0.493,6845,95.7431421446384,232200,0.38,40,15964
SAMEA2466887,Hybrid (hybridspades),SemiBin_246.fa,3.92,0.0,0.622,6170,122.2276785714286,260907,0.49,43,15583
SAMEA2466887,Hybrid (hybridspades),SemiBin_25.fa,57.09,9.8,0.885,160673,271.1549520766773,574320,0.27,13,171028
SAMEA2466887,Hybrid (hybridspades),SemiBin_257.fa,9.91,0.27,0.794,9019,163.640625,313260,0.42,41,14497
SAMEA2466887,Hybrid (hybridspades),SemiBin_26.fa,52.01,2.6,0.898,857575,302.324570273003,997232,0.28,6,857575
SAMEA2466887,Hybrid (hybridspades),SemiBin_27.fa,86.37,57.32,0.905,791662,299.0751807228916,2052848,0.28,6,841410
SAMEA2466887,Hybrid (hybridspades),SemiBin_273.fa,5.15,0.0,0.914,5238,303.6281588447653,275246,0.41,55,13390
SAMEA2466887,Hybrid (hybridspades),SemiBin_28.fa,99.87,2.01,0.876,191652,310.031914893617,2587352,0.53,27,649295
SAMEA2466887,Hybrid (hybridspades),SemiBin_280.fa,10.45,0.1,0.889,6030,277.7123287671233,544705,0.44,95,12534
SAMEA2466887,Hybrid (hybridspades),SemiBin_29.fa,95.07,0.24,0.895,337200,322.476947535771,2036313,0.53,11,613731
SAMEA2466887,Hybrid (hybridspades),SemiBin_3.fa,80.5,19.54,0.866,2031605,343.5450894487039,3252527,0.45,3,2031605
SAMEA2466887,Hybrid (hybridspades),SemiBin_30.fa,81.78,0.02,0.9,204205,364.4528593508501,3141185,0.42,18,600850
SAMEA2466887,Hybrid (hybridspades),SemiBin_31.fa,84.0,31.56,0.889,50971,359.8060084264517,6616697,0.42,174,573307
SAMEA2466887,Hybrid (hybridspades),SemiBin_32.fa,25.92,0.41,0.867,560011,276.7393422655298,782161,0.4,7,560011
SAMEA2466887,Hybrid (hybridspades),SemiBin_33.fa,59.53,0.03,0.908,520752,328.0306698950767,1340334,0.38,8,543033
SAMEA2466887,Hybrid (hybridspades),SemiBin_34.fa,42.94,0.33,0.887,469219,344.0672430355428,1209820,0.45,3,530699
SAMEA2466887,Hybrid (hybridspades),SemiBin_35.fa,94.53,10.3,0.885,198405,302.3127160968114,2663411,0.54,32,509117
SAMEA2466887,Hybrid (hybridspades),SemiBin_36.fa,31.7,0.07,0.876,68096,321.5606407322654,959511,0.58,14,393564
SAMEA2466887,Hybrid (hybridspades),SemiBin_37.fa,69.31,8.65,0.9,256702,333.0279485746227,1982595,0.44,24,367010
SAMEA2466887,Hybrid (hybridspades),SemiBin_38.fa,9.61,0.0,0.849,361469,352.1099656357388,361469,0.44,1,361469
SAMEA2466887,Hybrid (hybridspades),SemiBin_39.fa,14.03,0.03,0.886,338426,303.2151515151515,338426,0.38,1,338426
SAMEA2466887,Hybrid (hybridspades),SemiBin_4.fa,58.12,0.0,0.896,1782823,333.354375,1782823,0.44,1,1782823
SAMEA2466887,Hybrid (hybridspades),SemiBin_40.fa,70.59,0.73,0.882,96418,336.9961852861035,2099523,0.58,32,320386
SAMEA2466887,Hybrid (hybridspades),SemiBin_41.fa,18.1,0.01,0.893,306337,281.1072874493927,465632,0.38,3,306337
SAMEA2466887,Hybrid (hybridspades),SemiBin_42.fa,100.0,1.52,0.903,109110,322.8754820936639,1943100,0.54,24,280608
SAMEA2466887,Hybrid (hybridspades),SemiBin_43.fa,62.73,18.43,0.902,108634,283.3410981697172,1694260,0.26,37,275405
SAMEA2466887,Hybrid (hybridspades),SemiBin_44.fa,98.78,1.86,0.905,90075,355.3223289315727,3914162,0.48,72,254543
SAMEA2466887,Hybrid (hybridspades),SemiBin_45.fa,85.52,2.77,0.868,63834,302.0311627906977,2240065,0.34,57,244046
SAMEA2466887,Hybrid (hybridspades),SemiBin_46.fa,62.34,20.61,0.9,96800,287.5515603799186,1410239,0.27,35,229904
SAMEA2466887,Hybrid (hybridspades),SemiBin_47.fa,98.79,57.25,0.894,100500,274.3982912937348,2258084,0.28,48,242032
SAMEA2466887,Hybrid (hybridspades),SemiBin_48.fa,99.99,1.58,0.867,166503,317.0935016362786,2343199,0.54,29,235002
SAMEA2466887,Hybrid (hybridspades),SemiBin_49.fa,6.29,0.08,0.903,231675,284.3501805054152,261175,0.44,2,231675
SAMEA2466887,Hybrid (hybridspades),SemiBin_5.fa,99.93,0.26,0.875,1763785,304.8775147928994,1763785,0.45,1,1763785
SAMEA2466887,Hybrid (hybridspades),SemiBin_50.fa,81.84,32.69,0.843,26594,251.1690577743311,2299323,0.28,120,186679
SAMEA2466887,Hybrid (hybridspades),SemiBin_51.fa,71.34,47.93,0.879,77534,300.7971014492754,2899890,0.28,59,223044
SAMEA2466887,Hybrid (hybridspades),SemiBin_52.fa,84.28,26.55,0.877,57881,286.3681200857756,1369118,0.27,43,209746
SAMEA2466887,Hybrid (hybridspades),SemiBin_53.fa,87.92,0.63,0.897,110871,355.3229278794403,3307704,0.53,57,221061
SAMEA2466887,Hybrid (hybridspades),SemiBin_54.fa,8.63,0.0,0.892,218664,285.719298245614,218664,0.38,1,218664
SAMEA2466887,Hybrid (hybridspades),SemiBin_55.fa,35.96,0.06,0.905,168061,336.2959719789843,635365,0.39,5,208386
SAMEA2466887,Hybrid (hybridspades),SemiBin_56.fa,92.01,0.21,0.91,60098,322.7947964750315,2530323,0.42,65,205694
SAMEA2466887,Hybrid (hybridspades),SemiBin_57.fa,80.49,0.44,0.877,22882,305.5891296085139,2740622,0.43,175,192403
SAMEA2466887,Hybrid (hybridspades),SemiBin_58.fa,86.34,3.95,0.891,53432,289.6166861143524,1668417,0.53,50,184614
SAMEA2466887,Hybrid (hybridspades),SemiBin_59.fa,7.9,0.01,0.863,68355,333.0632183908046,402057,0.41,6,183503
SAMEA2466887,Hybrid (hybridspades),SemiBin_6.fa,99.85,0.07,0.897,1718178,309.9801084990958,1718178,0.31,1,1718178
SAMEA2466887,Hybrid (hybridspades),SemiBin_61.fa,94.13,4.97,0.905,90991,315.3493723849372,2493894,0.36,49,171938
SAMEA2466887,Hybrid (hybridspades),SemiBin_63.fa,90.17,4.02,0.885,62262,313.2894562334217,3198088,0.41,64,160508
SAMEA2466887,Hybrid (hybridspades),SemiBin_64.fa,66.06,0.37,0.826,24035,241.3317307692308,1452125,0.45,117,159085
SAMEA2466887,Hybrid (hybridspades),SemiBin_65.fa,10.82,0.12,0.87,153748,299.7344632768361,364726,0.34,4,154913
SAMEA2466887,Hybrid (hybridspades),SemiBin_66.fa,87.76,0.51,0.884,49488,332.3789858860429,2153910,0.43,57,153448
SAMEA2466887,Hybrid (hybridspades),SemiBin_67.fa,80.84,0.24,0.879,57247,326.3361638361638,2225977,0.42,64,152693
SAMEA2466887,Hybrid (hybridspades),SemiBin_68.fa,93.27,2.81,0.89,37515,282.5152866242038,1489124,0.48,61,136717
SAMEA2466887,Hybrid (hybridspades),SemiBin_69.fa,7.85,0.0,0.868,42228,285.7823834196891,380251,0.45,11,128317
SAMEA2466887,Hybrid (hybridspades),SemiBin_7.fa,96.15,0.29,0.914,1593480,337.0013850415513,1593480,0.29,1,1593480
SAMEA2466887,Hybrid (hybridspades),SemiBin_72.fa,53.85,0.85,0.837,22989,246.5984251968504,1116072,0.5,94,108184
SAMEA2466887,Hybrid (hybridspades),SemiBin_73.fa,78.35,2.05,0.9,22731,307.8394233159334,4117049,0.45,261,102134
SAMEA2466887,Hybrid (hybridspades),SemiBin_74.fa,85.96,1.37,0.893,27342,314.4643684820394,3636062,0.43,204,98988
SAMEA2466887,Hybrid (hybridspades),SemiBin_75.fa,85.51,17.2,0.873,32532,247.2587006960557,2187729,0.25,132,97282
SAMEA2466887,Hybrid (hybridspades),SemiBin_76.fa,42.12,10.79,0.858,41539,272.1383783783784,878429,0.27,34,97012
SAMEA2466887,Hybrid (hybridspades),SemiBin_77.fa,13.96,0.51,0.914,44381,296.909375,311201,0.27,9,96413
SAMEA2466887,Hybrid (hybridspades),SemiBin_78.fa,13.7,0.02,0.874,59943,268.1466395112016,450848,0.37,11,95782
SAMEA2466887,Hybrid (hybridspades),SemiBin_79.fa,75.05,1.95,0.858,23197,242.3373400542846,2172887,0.43,121,87424
SAMEA2466887,Hybrid (hybridspades),SemiBin_8.fa,76.06,6.9,0.906,960400,300.1869834710744,960400,0.29,1,960400
SAMEA2466887,Hybrid (hybridspades),SemiBin_80.fa,73.03,4.44,0.874,15648,255.3812734082397,2331089,0.42,219,87136
SAMEA2466887,Hybrid (hybridspades),SemiBin_81.fa,57.63,0.41,0.828,12305,221.7648388920294,1414217,0.39,165,85558
SAMEA2466887,Hybrid (hybridspades),SemiBin_83.fa,27.89,0.55,0.854,37154,265.368501529052,606457,0.49,25,81599
SAMEA2466887,Hybrid (hybridspades),SemiBin_84.fa,12.28,0.12,0.848,36811,254.7339449541284,684638,0.4,25,80311
SAMEA2466887,Hybrid (hybridspades),SemiBin_89.fa,72.96,10.94,0.874,26714,224.4439834024896,1110109,0.3,74,70831
SAMEA2466887,Hybrid (hybridspades),SemiBin_9.fa,95.85,37.93,0.905,1700843,314.4508089199825,2379716,0.3,3,1700843
SAMEA2466887,Hybrid (hybridspades),SemiBin_91.fa,58.09,2.14,0.828,12162,210.5240572171652,1751180,0.43,207,67186
SAMEA2466887,Hybrid (hybridspades),SemiBin_95.fa,84.56,4.61,0.88,15842,253.5118138858597,2368266,0.44,208,63577
SAMEA2466887,Hybrid (hybridspades),SemiBin_97.fa,50.06,2.45,0.855,16179,219.8900343642612,894422,0.28,76,63332
SAMEA2466887,LR (metaflye),SemiBin_0.fa,86.8,1.47,0.877,64588,321.3243243243243,2962917,0.44,63,167606
SAMEA2466887,LR (metaflye),SemiBin_1.fa,98.47,0.93,0.879,579390,330.4097968936679,2828715,0.42,6,939216
SAMEA2466887,LR (metaflye),SemiBin_10.fa,79.97,1.92,0.894,75459,291.8075313807531,934099,0.28,14,137585
SAMEA2466887,LR (metaflye),SemiBin_100.fa,72.15,34.67,0.89,51100,278.1075917546506,1859757,0.27,46,132832
SAMEA2466887,LR (metaflye),SemiBin_101.fa,61.85,20.83,0.899,30285,289.2106598984772,1516918,0.28,65,88585
SAMEA2466887,LR (metaflye),SemiBin_102.fa,45.27,8.53,0.879,63019,263.6919087136929,865082,0.28,31,124997
SAMEA2466887,LR (metaflye),SemiBin_103.fa,56.64,9.02,0.83,33765,237.926368159204,861691,0.29,34,175835
SAMEA2466887,LR (metaflye),SemiBin_104.fa,72.12,7.28,0.909,50206,315.3723502304147,1126693,0.29,34,165453
SAMEA2466887,LR (metaflye),SemiBin_11.fa,59.68,0.18,0.884,116792,318.9663167104112,2467153,0.42,25,210154
SAMEA2466887,LR (metaflye),SemiBin_12.fa,71.21,0.11,0.87,212817,285.281746031746,742797,0.27,4,224469
SAMEA2466887,LR (metaflye),SemiBin_13.fa,66.93,4.62,0.885,52131,288.0701624815362,1318130,0.3,43,168827
SAMEA2466887,LR (metaflye),SemiBin_14.fa,55.08,1.24,0.862,16146,295.6105919003115,1646482,0.58,107,41357
SAMEA2466887,LR (metaflye),SemiBin_15.fa,55.06,1.72,0.877,149147,346.4119937694704,1518837,0.44,28,305288
SAMEA2466887,LR (metaflye),SemiBin_16.fa,58.22,6.47,0.86,14517,293.7992733878293,1126370,0.4,79,45753
SAMEA2466887,LR (metaflye),SemiBin_17.fa,63.92,9.78,0.916,181697,302.9528985507246,819260,0.26,8,329932
SAMEA2466887,LR (metaflye),SemiBin_18.fa,57.56,0.01,0.9,787242,315.1877496671105,787242,0.3,1,787242
SAMEA2466887,LR (metaflye),SemiBin_19.fa,34.76,0.03,0.869,47961,295.2128829536528,1293225,0.53,31,90648
SAMEA2466887,LR (metaflye),SemiBin_2.fa,99.86,0.3,0.904,922358,364.5621931260229,4430922,0.46,6,1436762
SAMEA2466887,LR (metaflye),SemiBin_20.fa,52.52,0.22,0.888,167781,277.8030690537084,366084,0.26,3,172342
SAMEA2466887,LR (metaflye),SemiBin_21.fa,63.37,0.22,0.879,84496,283.8262764632628,1551182,0.53,22,199305
SAMEA2466887,LR (metaflye),SemiBin_22.fa,48.24,1.75,0.916,70513,299.3390070921986,689750,0.28,10,82549
SAMEA2466887,LR (metaflye),SemiBin_23.fa,46.99,0.55,0.894,33214,249.3464658169177,719427,0.31,28,46491
SAMEA2466887,LR (metaflye),SemiBin_24.fa,29.11,0.3,0.855,476307,246.4178356713427,858507,0.39,2,476307
SAMEA2466887,LR (metaflye),SemiBin_25.fa,63.29,13.91,0.824,73480,235.6291585127201,2611773,0.42,42,235901
SAMEA2466887,LR (metaflye),SemiBin_26.fa,17.95,0.0,0.906,243220,266.7572463768116,243220,0.27,1,243220
SAMEA2466887,LR (metaflye),SemiBin_27.fa,40.55,5.02,0.826,25672,240.7016129032258,1186372,0.5,49,179940
SAMEA2466887,LR (metaflye),SemiBin_28.fa,46.71,3.17,0.911,107377,297.4133545310016,614323,0.26,10,125011
SAMEA2466887,LR (metaflye),SemiBin_29.fa,29.08,0.5,0.862,34948,295.2216117216117,559809,0.47,16,62614
SAMEA2466887,LR (metaflye),SemiBin_3.fa,89.2,9.39,0.891,46044,286.2402574186628,2687918,0.38,89,131515
SAMEA2466887,LR (metaflye),SemiBin_30.fa,46.99,0.13,0.907,329668,319.9859649122807,601785,0.43,2,329668
SAMEA2466887,LR (metaflye),SemiBin_31.fa,24.03,0.94,0.885,184193,307.6549245147376,1443435,0.43,8,211648
SAMEA2466887,LR (metaflye),SemiBin_32.fa,39.6,0.1,0.878,43874,325.8879235447437,1279094,0.44,33,88652
SAMEA2466887,LR (metaflye),SemiBin_33.fa,47.91,3.91,0.842,59474,276.3053400273848,2147469,0.43,43,197613
SAMEA2466887,LR (metaflye),SemiBin_34.fa,14.92,0.0,0.907,135862,312.5282651072125,529392,0.44,4,152626
SAMEA2466887,LR (metaflye),SemiBin_35.fa,25.09,0.0,0.887,216015,301.7028301886792,216015,0.25,1,216015
SAMEA2466887,LR (metaflye),SemiBin_36.fa,39.97,0.58,0.886,38391,300.842509603073,792896,0.48,27,62185
SAMEA2466887,LR (metaflye),SemiBin_37.fa,20.01,0.28,0.914,134398,273.5893536121673,235641,0.24,2,134398
SAMEA2466887,LR (metaflye),SemiBin_38.fa,35.35,0.77,0.815,20004,253.7339593114241,593998,0.5,29,41989
SAMEA2466887,LR (metaflye),SemiBin_39.fa,99.86,0.07,0.898,1719492,310.5789156626506,1719492,0.31,1,1719492
SAMEA2466887,LR (metaflye),SemiBin_4.fa,100.0,0.88,0.882,726491,353.5511811023622,2743252,0.55,4,1138259
SAMEA2466887,LR (metaflye),SemiBin_40.fa,43.9,1.88,0.888,56799,274.4764079147641,1213299,0.37,27,93464
SAMEA2466887,LR (metaflye),SemiBin_41.fa,11.87,0.03,0.927,111918,282.2479338842975,220184,0.27,2,111918
SAMEA2466887,LR (metaflye),SemiBin_42.fa,48.66,0.08,0.888,1287173,323.168358714044,1287173,0.45,1,1287173
SAMEA2466887,LR (metaflye),SemiBin_43.fa,39.59,4.15,0.905,103359,308.3629489603024,539737,0.25,10,113084
SAMEA2466887,LR (metaflye),SemiBin_44.fa,26.76,0.0,0.907,167563,288.0532915360501,303160,0.29,2,167563
SAMEA2466887,LR (metaflye),SemiBin_45.fa,40.35,0.1,0.905,128283,308.652427184466,525788,0.26,4,149132
SAMEA2466887,LR (metaflye),SemiBin_46.fa,33.48,0.1,0.912,185583,330.2472924187726,600752,0.31,3,259234
SAMEA2466887,LR (metaflye),SemiBin_47.fa,51.98,0.06,0.918,279899,332.9627659574468,816444,0.29,4,298039
SAMEA2466887,LR (metaflye),SemiBin_48.fa,28.69,0.66,0.864,61470,311.3549488054608,948127,0.55,21,114715
SAMEA2466887,LR (metaflye),SemiBin_49.fa,20.35,0.0,0.889,247703,278.7537878787879,247703,0.29,1,247703
SAMEA2466887,LR (metaflye),SemiBin_5.fa,98.75,0.16,0.878,741584,310.1501783976646,3259668,0.41,8,1136220
SAMEA2466887,LR (metaflye),SemiBin_50.fa,25.23,0.0,0.888,34691,286.124597207304,896377,0.42,30,61392
SAMEA2466887,LR (metaflye),SemiBin_51.fa,18.98,0.0,0.905,35543,275.5142857142857,223332,0.28,6,50946
SAMEA2466887,LR (metaflye),SemiBin_52.fa,24.62,0.0,0.896,168292,287.4273255813953,330381,0.28,2,168292
SAMEA2466887,LR (metaflye),SemiBin_53.fa,17.74,7.74,0.815,55991,246.7298701298701,348952,0.27,9,74597
SAMEA2466887,LR (metaflye),SemiBin_54.fa,34.45,0.32,0.909,118135,311.0975,410075,0.28,4,122061
SAMEA2466887,LR (metaflye),SemiBin_55.fa,25.36,0.0,0.902,161537,333.3493150684931,484889,0.39,3,168199
SAMEA2466887,LR (metaflye),SemiBin_56.fa,24.7,0.02,0.847,129040,289.3799682034976,643727,0.46,5,144198
